2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Connection release mode: auto
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Default batch fetch size: 1
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Generate SQL with comments: disabled
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Order SQL updates by primary key: disabled
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Order SQL inserts for batching: disabled
2013-10-22 14:25:38,286 INFO  [org.hibernate.cfg.SettingsFactory] Query translator: org.hibernate.hql.ast.ASTQueryTranslatorFactory
2013-10-22 14:25:38,287 INFO  [org.hibernate.hql.ast.ASTQueryTranslatorFactory] Using ASTQueryTranslatorFactory
2013-10-22 14:25:38,287 INFO  [org.hibernate.cfg.SettingsFactory] Query language substitutions: {}
2013-10-22 14:25:38,287 INFO  [org.hibernate.cfg.SettingsFactory] JPA-QL strict compliance: enabled
2013-10-22 14:25:38,287 INFO  [org.hibernate.cfg.SettingsFactory] Second-level cache: enabled
2013-10-22 14:25:38,288 INFO  [org.hibernate.cfg.SettingsFactory] Query cache: disabled
2013-10-22 14:25:38,288 INFO  [org.hibernate.cfg.SettingsFactory] Cache provider: org.hibernate.cache.HashtableCacheProvider
2013-10-22 14:25:38,290 INFO  [org.hibernate.cfg.SettingsFactory] Optimize cache for minimal puts: disabled
2013-10-22 14:25:38,290 INFO  [org.hibernate.cfg.SettingsFactory] Cache region prefix: connector-pge-ear_ear,connector-pge-ejb_jar,connector-pge
2013-10-22 14:25:38,290 INFO  [org.hibernate.cfg.SettingsFactory] Structured second-level cache entries: disabled
2013-10-22 14:25:38,290 INFO  [org.hibernate.cfg.SettingsFactory] Statistics: disabled
2013-10-22 14:25:38,290 INFO  [org.hibernate.cfg.SettingsFactory] Deleted entity synthetic identifier rollback: disabled
2013-10-22 14:25:38,290 INFO  [org.hibernate.cfg.SettingsFactory] Default entity-mode: pojo
2013-10-22 14:25:38,291 INFO  [org.hibernate.cfg.SettingsFactory] Named query checking : enabled
2013-10-22 14:25:38,298 INFO  [org.hibernate.impl.SessionFactoryImpl] building session factory
2013-10-22 14:25:38,333 INFO  [org.hibernate.impl.SessionFactoryObjectFactory] Factory name: persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge
2013-10-22 14:25:38,333 INFO  [org.hibernate.util.NamingHelper] JNDI InitialContext properties:{java.naming.factory.initial=org.jnp.interfaces.NamingContextFactory, java.naming.factory.url.pkgs=org.jboss.naming:org.jnp.interfaces}
2013-10-22 14:25:38,337 INFO  [org.hibernate.impl.SessionFactoryObjectFactory] Bound factory to JNDI name: persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge
2013-10-22 14:25:38,338 WARN  [org.hibernate.impl.SessionFactoryObjectFactory] InitialContext did not implement EventContext
2013-10-22 14:25:38,344 INFO  [org.hibernate.tool.hbm2ddl.SchemaUpdate] Running hbm2ddl schema update
2013-10-22 14:25:38,344 INFO  [org.hibernate.tool.hbm2ddl.SchemaUpdate] fetching database metadata
2013-10-22 14:25:38,348 INFO  [org.hibernate.tool.hbm2ddl.SchemaUpdate] updating schema
